id,midden,midden.S,tree,lat,long,serotiny,dbh,distance,direction,cones.sampled,length,width,width.scale,count.seeds,mass.cone,mass.seed,mass.ratio,count.before,count.after,predation,jdate.cone,ns.season
2.01.02,1,0.05,2,41.05.569,106.08.578,NS,22.3,27,NE,3,37.38333333,22.04,5.292777778,15,4.068066667,0.047716667,0.010634489,3,1,0.666666667,259,spring
2.01.05,1,0.05,5,41.05.561,106.08.575,S,23.2,19,NE,3,35.24666667,24.66666667,5.753888889,15.33333333,5.273933333,0.039806667,0.007493418,33,31,0.060606061,259,NA
2.01.07,1,0.05,7,41.05.549,106.08.571,S,22.9,29,SE,3,36.84,21.18333333,4.838730159,17.66666667,4.062666667,0.050386667,0.011881676,41,36,0.12195122,259,NA
2.01.08,1,0.05,8,41.05.547,106.08.575,NS,26.1,24,SE,2,35.93,23.715,4.15,10,4.5868,0.0258,0.005444301,10,6,0.4,259,spring
2.01.09,1,0.05,9,41.05.549,106.08.584,NS,19.1,16,S,2,35.42,23.465,5.36,33,4.76575,0.08118,0.016772913,8,4,0.5,259,spring
2.01.11,1,0.05,11,41.05.540,106.08.598,S,17.2,31,SW,1,35.88,24.15,5.756666667,9,4.6974,0.03276,0.006974071,8,5,0.375,259,NA
2.01.13,1,0.05,13,41.05.562,106.08.611,NS,21.6,37,NW,3,35.31,22.20666667,4.886111111,21.66666667,4.193,0.0772,0.017987362,7,1,0.857142857,259,spring
2.01.14,1,0.05,14,41.05.568,106.08.601,NS,24.8,31,NW,3,32.86,19.6,5.057222222,14.66666667,2.635433333,0.031972121,0.011422086,7,4,0.428571429,259,spring
2.01.16,1,0.05,16,41.05.553,106.08.606,S,NA,26,W,3,34.87333333,23.89333333,5.621666667,17,5.297733333,0.045953333,0.008448368,17,16,0.058823529,259,NA
2.03.01,3,0.1,1,41.05.587,106.08.695,S,17.2,21,W,3,34.87666667,21.30333333,4.488888889,8,3.846033333,0.019393333,0.005120874,9,8,0.111111111,260,NA
2.03.04,3,0.1,4,41.05.598,106.08.684,S,18.2,30,N,3,33.91,21.98333333,5.012777778,22.33333333,4.2069,0.062693333,0.013684186,17,14,0.176470588,260,NA
2.03.05,3,0.1,5,41.05.603,106.08.683,NS,16.6,37,N,3,30.21,22.31,5.009166667,15.5,3.5245,0.03771,0.010487115,3,0,1,260,fall
2.03.07,3,0.1,7,41.05.598,106.08.674,NS,13.7,29,NE,1,34.86,21.97,5.15,10,3.3622,0.0328,0.009755517,6,5,0.166666667,260,fall
2.03.13,3,0.1,13,41.05.569,106.08.672,NS,24.8,23,S,1,45.91,28.78,7.131666667,22,8.9221,0.0902,0.010109728,7,1,0.857142857,260,spring
2.03.15,3,0.1,15,41.05.564,106.08.683,S,18.2,34,S,3,37.07666667,24.61,5.37,7.666666667,4.850166667,0.020293333,0.00342024,16,15,0.0625,260,NA
2.03.18,3,0.1,18,41.05.575,106.08.691,NS,26.4,18,SW,3,30.16333333,17.69666667,4.651666667,17.33333333,2.450766667,0.031833333,0.013093656,29,27,0.068965517,260,spring
2.03.20,3,0.1,20,41.05.578,106.08.692,NS,17.8,16,W,1,42.65,24.97,5.12,33,5.5521,0.10494,0.018900956,2,0,1,260,spring
2.04.04,4,0.25,4,41.05.396,106.05.396,S,18.2,42,N,1,40.41,29.7,4.456666667,5,6.8785,0.010125,0.001471978,12,8,0.333333333,251,NA
2.04.06,4,0.25,6,41.05.377,106.08.611,S,14,31,E,2,39.23,23.63,4.941666667,19,4.25355,0.0553,0.012633966,9,4,0.555555556,251,NA
2.04.07,4,0.25,7,41.05.375,106.08.611,NS,11.8,30,E,3,33.07333333,22.43,4.63,21.66666667,2.917266667,0.04532,0.015343146,4,3,0.25,251,spring
2.04.11,4,0.25,11,41.05.361,106.08.630,NS,21.6,24,S,3,47.08333333,28.64333333,6.528888889,25.33333333,6.667433333,0.09132,0.013451448,13,7,0.461538462,251,spring
2.04.15,4,0.25,15,41.05.368,106.08.651,NS,20.1,25,W,3,35.87333333,27.59333333,5.397777778,5.333333333,6.459166667,0.012246667,0.001860661,7,7,0,251,spring
2.04.16,4,0.25,16,41.05.372,106.08.655,S,13.4,30,W,3,34.23,22.95666667,4.452777778,16.33333333,4.264333333,0.04148,0.009532061,9,9,0,251,NA
2.04.17,4,0.25,17,41.05.373,106.08.656,S,18.5,33,W,3,32.53,22.32666667,3.678333333,21,4.3235,0.145533333,0.035366341,8,4,0.5,251,NA
2.04.18,4,0.25,18,41.05.378,106.08.656,NS,16.6,34,W,3,38.43333333,23.16,4.276666667,39,4.151066667,0.0876,0.021507098,20,7,0.65,251,spring
2.04.19,4,0.25,19,41.05.381,106.08.654,NS,18.8,34,W,3,33.26333333,21.47,4.222333333,25.66666667,3.6599,0.074133333,0.020102771,17,0,1,251,spring
2.05.01,5,0.25,1,41.05.380,106.08.486,NS,21,18,N,3,37.41,26.46333333,5.701111111,18.66666667,4.604533333,0.051466667,0.011067968,12,9,0.25,260,fall
2.05.06,5,0.25,6,41.05.377,106.08.463,NS,14.6,33,NE,3,31.41666667,19.03333333,4.088888889,30.33333333,2.3861,0.074993333,0.033129396,17,4,0.764705882,260,fall
2.05.08,5,0.25,8,41.05.367,106.08.470,NS,17.2,26,SE,1,37.33,21.26,5.183333333,40,3.5421,0.0904,0.025521583,7,0,1,260,fall
